Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,total_attempts,total_points,ts_pct
Bennedict Mathurin,0.328,0.489,0.3,0.273,0.449,0.387,0.814,131,20,11,49,62,129,402,389.115,0.42409429767198537
De'Aaron Fox,0.327,0.691,0.506,0.439,0.343,0.417,0.823,110,77,41,35,60,96,419,456.025,0.49434676090538543
Dillon Brooks,0.327,0.481,0.488,0.222,0.318,0.348,0.722,108,43,27,44,69,54,345,310.852,0.4214828072459052
Gordon Hayward,0.325,0.636,0.382,0.405,0.667,0.222,0.767,33,34,37,15,27,43,189,178.89999999999998,0.43021354367064246
Davion Mitchell,0.323,0.659,0.2,0.538,0.3,0.375,0.727,41,10,13,20,32,11,127,134.02300000000002,0.5082789745145632
Rui Hachimura,0.319,0.576,0.5,0.409,0.5,0.227,0.724,66,34,22,14,22,29,187,185.006,0.46307068482178615
Kelly Oubre Jr.,0.319,0.552,0.417,0.714,0.31,0.31,0.718,143,48,14,71,84,71,431,413.024,0.4467635860159225
LeBron James,0.316,0.614,0.227,0.462,0.36,0.278,0.721,145,22,26,50,54,68,365,360.136,0.4559607009014484
Russell Westbrook,0.312,0.466,0.278,0.3,0.355,0.294,0.707,148,18,10,31,51,75,333,284.966,0.3892978142076503
Jabari Smith Jr.,0.308,0.429,0.333,0.261,0.391,0.316,0.857,49,21,23,46,79,42,260,232.87800000000001,0.418123384085033
Ja Morant,0.308,0.542,0.393,0.5,0.35,0.386,0.743,192,89,10,40,44,167,542,505.115,0.4103423344381621
Paolo Banchero,0.299,0.605,0.375,0.359,0.304,0.25,0.732,119,40,39,23,32,127,380,339.932,0.38993759750390017
John Wall,0.298,0.638,0.45,0.355,0.15,0.289,0.658,69,20,31,20,38,76,254,220.008,0.3827024770386864
Jalen Smith,0.289,0.662,0.286,0.214,0.37,0.243,0.765,77,14,14,46,37,51,239,232.99599999999998,0.4456012851897185
John Collins,0.285,0.702,0.469,0.4,0.2,0.184,0.845,94,32,10,30,38,58,262,257.978,0.448626182526433
Scottie Barnes,0.283,0.577,0.167,0.346,0.364,0.343,0.724,111,30,26,33,35,29,264,249.153,0.4501246567423038
Killian Hayes,0.28,0.278,0.446,0.368,0.2,0.406,0.842,54,56,19,30,32,19,210,166.93399999999997,0.38224491665140126
Giannis Antetokounmpo,0.275,0.664,0.268,0.419,0.241,0.222,0.608,238,41,31,29,27,212,578,531.8629999999999,0.3961558515075676
Bol Bol,0.268,0.8,0.452,0.231,0.5,0.333,0.767,100,31,13,22,21,43,230,280.99,0.5644182869998393
Dennis Smith Jr.,0.22,0.562,0.381,0.3,0.364,0.316,0.5,73,21,10,11,19,12,146,140.078,0.46297593865679537
