Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,net_avg_pct_oct_nov,total_attempts,total_points,ts_pct
CJ McCollum,0.6294282764861453,-1.2888105314838425,0.1764923425834965,0.14514517427570756,-1.1504677137770765,-0.07373699543218802,-0.08641615407622319,-0.21371229743775874,0.8460577377879495,1.2241473611066536,-0.3635253381204807,0.8070986328223595,-0.767926927632866,-1.4775212470145187,0.08284076561990517,-0.15844747501310497,-0.6129412729418564
Nikola Jokic,0.6294282764861453,1.4112580877986272,0.8800189123280896,4.088973267678141,-1.1731556555442497,-0.02990068989085078,0.5477454689139143,1.516772688502027,-0.36965097728246016,-1.0844891057068258,-1.3667809561020463,-1.4499910086586656,0.9012001842842574,2.9101962794009504,0.18215772421694246,0.5299843490308491,0.9001385369187683
James Harden,0.6040727174184454,-0.7367965026527598,0.20947015054027432,2.3619917025671806,-0.8214925581530648,0.4376865692167465,1.528901187502431,-1.1958794516197992,-0.291218156955337,-0.8536254590254778,-0.3635253381204807,-1.1275496313042332,-0.29103346708511646,0.8964686135469576,-0.9930929525146656,-0.9803453679051208,-0.515334374568975
Mikal Bridges,0.5787171583507453,0.8832446689167227,0.5282556274557927,-0.8927043239880909,1.0956385211730748,0.174668735968723,0.8827742508709687,0.1370616861986843,0.9244905581150726,-1.0844891057068258,0.10466061693758319,-0.9842423524800413,-0.46444927092066174,0.9602025409081839,-0.26476858946972537,-0.0008586500176915562,1.4912982562802692
Kyrie Irving,0.5026504811476454,0.09122454059386396,2.2431016412082387,1.0418471407756296,0.017961287232345396,-0.950463106258932,1.3494214828825803,-0.09678763622561107,0.37546081582521024,0.4546018721688272,1.1747999427845863,0.4130036160558313,-0.24767951612623015,0.37631190248631574,0.24009261673188087,0.37839062212058144,0.8028824935528251
Monte Morris,0.5026504811476454,-0.3407864384913304,0.4183296009332,-0.47756452468257155,-0.7080528493171985,0.5691954858407582,-1.0436412453820931,-0.8217205357409267,-0.8402478992451994,-0.3149436167689993,-1.0992461246402954,-0.8767618933618972,-1.049727608865627,-0.9563286447634495,-1.2413853490072588,-1.2423738633680095,-0.013862052751391329
Tyler Herro,0.4772949220799454,0.4992349097298821,0.0006107001473480766,-0.47756452468257155,-0.004726654534827869,-0.5705484582340093,0.9186701917949389,-0.6580260100439199,-0.055919695973967384,-0.3149436167689993,0.10466061693758319,-0.01691822041674487,-0.6161880992767639,-0.41326960995499407,-0.5047845727458988,-0.5137084457104197,0.05977245988233195
Myles Turner,0.4772949220799454,1.0512489385609656,2.81471697912572,-3.3835431198212067,1.0048867541043818,-0.32214272683309825,0.08109823690230404,0.02013702498653662,-1.075546360226569,-1.0844891057068258,-0.4304090459859184,-1.1992032707163294,0.18585999346263307,1.6989237265122314,-0.5958251181265164,-0.42709588749085786,0.33032354328562025
Anfernee Simons,0.4265838039445454,-0.28078491361838653,0.0006107001473480766,-0.30320580897425325,-0.3790776936931861,0.598419689534983,0.9665314463602324,0.18383155068354337,-0.055919695973967384,0.8393746166377404,0.9741488191882733,3.6374173896001523,0.14250604250374674,-0.42832412687679067,1.1587744837544758,1.2162648977724841,0.499885277751595
Christian Wood,0.40122824487684544,0.9072452788659002,1.3197230184184607,-0.8262819560992076,0.38096835550711766,0.6568680969234327,-1.5581497319589968,0.48783566983512733,-0.879464309408761,-0.8536254590254778,-0.96547870890942,-0.8051082539498012,0.14250604250374674,0.9212778079965493,-0.3558091348503429,-0.23026210642883213,0.2525924592271493
